항목,스타일 (A/T),스마트 (A/T),프리미엄 (A/T)
전장,"5,625 mm","5,625 mm","5,625 mm"
전폭,"2,015 mm","2,015 mm","2,015 mm"
전고,"2,230 mm","2,230 mm","2,230 mm"
축거,"3,500 mm","3,500 mm","3,500 mm"
윤거 (전),"1,732 mm","1,732 mm","1,732 mm"
윤거 (후),"1,756 mm","1,756 mm","1,756 mm"
승차정원,2,2,2
공차중량,"2,365 kg","2,365 kg","2,365 kg"
