항목,익스클루시브 2WD (A/T),익스클루시브 4WD (A/T),프레스티지 2WD (A/T),프레스티지 4WD (A/T),캘리그래피 2WD (A/T),캘리그래피 4WD (A/T)
전장,"5,060 mm","5,060 mm","5,060 mm","5,060 mm","5,065 mm","5,065 mm"
전폭,"1,980 mm","1,980 mm","1,980 mm","1,980 mm","1,980 mm","1,980 mm"
전고,"1,805 mm","1,805 mm","1,805 mm","1,805 mm","1,805 mm","1,805 mm"
축거,"2,970 mm","2,970 mm","2,970 mm","2,970 mm","2,970 mm","2,970 mm"
윤거 (전),"1,720 mm","1,720 mm","1,709 mm","1,709 mm","1,709 mm","1,709 mm"
윤거 (후),"1,732 mm","1,732 mm","1,721 mm","1,721 mm","1,721 mm","1,721 mm"
승차정원,7,7,7,7,7,7
공차중량,"2,080 kg","2,150 kg","2,110 kg","2,180 kg","2,110 kg","2,180 kg"
연료탱크,72 ℓ,72 ℓ,72 ℓ,72 ℓ,72 ℓ,72 ℓ
