항목,모던 플러스 (A/T),프리미엄 (A/T),인스퍼레이션 (A/T),N 라인 (A/T)
전장,"4,355 mm","4,355 mm","4,355 mm","4,385 mm"
전폭,"1,825 mm","1,825 mm","1,825 mm","1,825 mm"
전고,"1,575 mm","1,580 mm","1,580 mm","1,580 mm"
축거,"2,660 mm","2,660 mm","2,660 mm","2,660 mm"
윤거 (전),"1,591 mm","1,591 mm","1,589 mm","1,589 mm"
윤거 (후),"1,600 mm","1,600 mm","1,602 mm","1,602 mm"
승차정원,5,5,5,5
공차중량,"1,720 kg","1,720 kg","1,740 kg","1,740 kg"
