항목,프리미엄 (A/T)
전장 (mm),3825
전폭 (mm),1610
전고 (mm),1575
축거 (mm),2580
윤거 (전) (mm),1414
윤거 (후) (mm),1425
승차정원,4
공차중량 (kg),1300
