항목,익스클루시브 (A/T)
전장 (mm),4910
전폭 (mm),1860
전고 (mm),1445
축거 (mm),2840
윤거 (전) (mm),1623
윤거 (후) (mm),1630
승차정원,5
공차중량 (kg),1570
연료탱크 (ℓ),50
