항목,BLACK AWD (A/T)
전장 (mm),5005
전폭 (mm),1925
전고 (mm),1465
축거 (mm),3010
윤거 (전) (mm),1630
윤거 (후) (mm),1637
승차정원,5
공차중량 (kg),1920
연료탱크 (ℓ),65
