항목,이-라이트 AWD (A/T)
전장 (mm),4925
전폭 (mm),1880
전고 (mm),1495
축거 (mm),2950
윤거 (전) (mm),1635
윤거 (후) (mm),1644
승차정원,5
공차중량 (kg),2035
