항목,디럭스 (15인승) (A/T)
전장 (mm),6195
전폭 (mm),2038
전고 (mm),2665
축거 (mm),3670
윤거 (전) (mm),1712
윤거 (후) (mm),1718
승차정원,15
연료탱크 (ℓ),75
