항목,아반떼 N (M/T),아반떼 N (A/T),아반떼 N (시티 팩) (A/T),아반떼 N (트랙 팩) (A/T)
전장,"4,710 mm","4,710 mm","4,710 mm","4,710 mm"
전폭,"1,825 mm","1,825 mm","1,825 mm","1,825 mm"
전고,"1,415 mm","1,415 mm","1,415 mm","1,415 mm"
축거,"2,720 mm","2,720 mm","2,720 mm","2,720 mm"
윤거 (전),"1,584 mm","1,584 mm","1,584 mm","1,584 mm"
윤거 (후),"1,579 mm","1,579 mm","1,579 mm","1,579 mm"
승차정원,5,5,5,5
공차중량,"1,480 kg","1,520 kg","1,520 kg","1,520 kg"
연료탱크,47 ℓ,47 ℓ,47 ℓ,47 ℓ
