항목,프리미엄 (A/T),인스퍼레이션 (A/T),크로스 (A/T)
전장,"3,825 mm","3,825 mm","3,845 mm"
전폭,"1,610 mm","1,610 mm","1,610 mm"
전고,"1,575 mm","1,575 mm","1,610 mm"
축거,"2,580 mm","2,580 mm","2,580 mm"
윤거 (전),"1,414 mm","1,414 mm","1,402 mm"
윤거 (후),"1,425 mm","1,425 mm","1,413 mm"
승차정원,4,4,4
공차중량,"1,300 kg","1,335 kg","1,370 kg"
트렁크 (후) 용량,280 ℓ,280 ℓ,280 ℓ
