항목,11인승 (A/T),15인승 (A/T)
전장,"5,255 mm","5,255 mm"
전폭,"1,995 mm","1,995 mm"
전고,"2,120 mm","2,120 mm"
축거,"3,275 mm","3,275 mm"
윤거 (전),"1,732 mm","1,732 mm"
윤거 (후),"1,743 mm","1,743 mm"
승차정원,11,15
공차중량,"2,330 kg","2,370 kg"
연료탱크,85 ℓ,85 ℓ
