항목,스탠다드 2WD (A/T),스탠다드 AWD (A/T),퍼포먼스 AWD (A/T)
전장,"4,545 mm","4,545 mm","4,545 mm"
전폭,"1,890 mm","1,890 mm","1,890 mm"
전고,"1,580 mm","1,580 mm","1,580 mm"
축거,"2,900 mm","2,900 mm","2,900 mm"
윤거 (전),"1,633 mm","1,633 mm","1,628 mm"
윤거 (후),"1,642 mm","1,642 mm","1,637 mm"
승차정원,5,5,5
공차중량,"2,020 kg","2,130 kg","2,190 kg"
