항목,N Line 인스퍼레이션 4WD (A/T)
전장 (mm),4650
전폭 (mm),1865
전고 (mm),1665
축거 (mm),2755
윤거 (전) (mm),1615
윤거 (후) (mm),1622
승차정원,5
공차중량 (kg),1730
연료탱크 (ℓ),52
