항목,캘리그래피 2WD (A/T)
전장 (mm),5060
전폭 (mm),1980
전고 (mm),1790
축거 (mm),3130
윤거 (전) (mm),1692
윤거 (후) (mm),1704
승차정원,6
공차중량 (kg),2555
