항목,프리미엄 2WD (A/T)
전장 (mm),4640
전폭 (mm),1865
전고 (mm),1665
축거 (mm),2755
윤거 (전) (mm),1615
윤거 (후) (mm),1622
승차정원,5
공차중량 (kg),1645
연료탱크 (ℓ),52
