항목,프리미엄 (A/T)
전장 (mm),4040
전폭 (mm),1770
전고 (mm),1565
축거 (mm),2520
윤거 (전) (mm),1555
윤거 (후) (mm),1565
승차정원,5
공차중량 (kg),1180
연료탱크 (ℓ),45
