항목,아반떼 N (M/T)
전장 (mm),4710
전폭 (mm),1825
전고 (mm),1415
축거 (mm),2720
윤거 (전) (mm),1584
윤거 (후) (mm),1579
승차정원,5
공차중량 (kg),1480
연료탱크 (ℓ),47
