항목,플럭스 (A/T)
전장 (mm),4040
전폭 (mm),1770
전고 (mm),1585
축거 (mm),2520
윤거 (전) (mm),1535
윤거 (후) (mm),1545
승차정원,5
공차중량 (kg),1215
연료탱크 (ℓ),45
