항목,스마트 (A/T)
전장 (mm),4710
전폭 (mm),1825
전고 (mm),1420
축거 (mm),2720
윤거 (전) (mm),1585
윤거 (후) (mm),1599
승차정원,5
공차중량 (kg),1355
연료탱크 (ℓ),42
