항목,프레스티지 4WD (성능형) (A/T)
전장 (mm),5060
전폭 (mm),1980
전고 (mm),1790
축거 (mm),3130
윤거 (전) (mm),1702
윤거 (후) (mm),1714
승차정원,6
공차중량 (kg),2630
