항목,디럭스 자가용 (25인승) (M/T)
전장 (mm),6375
전폭 (mm),2035
전고 (mm),2795
축거 (mm),3350
윤거 (전) (mm),1705
윤거 (후) (mm),1495
승차정원,25
연료탱크 (ℓ),95
