항목,N라인 (익스클루시브) AWD (A/T)
전장 (mm),4935
전폭 (mm),1880
전고 (mm),1495
축거 (mm),2950
윤거 (전) (mm),1630
윤거 (후) (mm),1639
승차정원,5
공차중량 (kg),2080
