항목,익스클루시브 (A/T)
전장 (mm),5035
전폭 (mm),1880
전고 (mm),1460
축거 (mm),2895
윤거 (전) (mm),1628
윤거 (후) (mm),1635
승차정원,5
공차중량 (kg),1700
연료탱크 (ℓ),50
