항목,8톤 (GVW 17톤) 장축,8톤 (GVW 17톤) 조창축
전장,"9,665mm","10,470 mm"
전폭,"2,495 mm","2,495 mm"
전고,"3,140 mm","3,140 mm"
축거,"5,850 mm","6,300 mm"
승차정원,2,2
연료탱크,200 ℓ,200 ℓ
