항목,장축 프리미엄 (M/T),장축 프리미엄 (A/T),초장축 프리미엄 (M/T),초장축 프리미엄 (A/T),초장축 플러스7.0 프리미엄 (M/T),초장축 플러스7.0 프리미엄 (A/T),극초장축 7.4 프리미엄 (M/T),극초장축 7.4 프리미엄 (A/T),극초장축 플러스7.6 프리미엄 (M/T),극초장축 플러스7.6 프리미엄 (A/T),극초장축 플러스8.3 프리미엄 (M/T),극초장축 플러스8.3 프리미엄 (A/T),장축 프레스티지 (M/T),장축 프레스티지 (A/T),초장축 프레스티지 (M/T),초장축 프레스티지 (A/T),초장축 플러스7.0 프레스티지 (M/T),초장축 플러스7.0 프레스티지 (A/T),극초장축 7.4 프레스티지 (M/T),극초장축 7.4 프레스티지 (A/T),극초장축 플러스7.6 프레스티지 (M/T),극초장축 플러스7.6 프레스티지 (A/T),극초장축 플러스8.3 프레스티지 (M/T),극초장축 플러스8.3 프레스티지 (A/T)
전장,"7,800 mm","7,800 mm","8,750 mm","8,750 mm","9,500 mm","9,500 mm","9,890 mm","9,890 mm","10,090 mm","10,090 mm","10,790 mm","10,790 mm","7,800 mm","7,800 mm","8,750 mm","8,750 mm","9,500 mm","9,500 mm","9,890 mm","9,890 mm","10,090 mm","10,090 mm","10,790 mm","10,790 mm"
전폭,"2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,420 mm","2,420 mm","2,420 mm","2,420 mm","2,420 mm","2,420 mm","2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,420 mm","2,420 mm","2,420 mm","2,420 mm","2,420 mm","2,420 mm"
전고,"2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm","2,865 mm"
축거,"4,300 mm","4,300 mm","4,900 mm","4,900 mm","5,400 mm","5,400 mm","5,700 mm","5,700 mm","5,900 mm","5,900 mm","6,300 mm","6,300 mm","4,300 mm","4,300 mm","4,900 mm","4,900 mm","5,400 mm","5,400 mm","5,700 mm","5,700 mm","5,900 mm","5,900 mm","6,300 mm","6,300 mm"
승차정원,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
연료탱크,200 ℓ,200 ℓ,200 ℓ,200 ℓ,200 ℓ,200 ℓ,200 ℓ,200 ℓ,200 ℓ,200 ℓ,200 ℓ,200 ℓ,250 ℓ,250 ℓ,250 ℓ,250 ℓ,250 ℓ,250 ℓ,250 ℓ,250 ℓ,250 ℓ,250 ℓ,250 ℓ,250 ℓ
