항목,모던 4WD (A/T)
전장 (mm),4640
전폭 (mm),1865
전고 (mm),1665
축거 (mm),2755
윤거 (전) (mm),1620
윤거 (후) (mm),1627
승차정원,5
공차중량 (kg),1690
연료탱크 (ℓ),52
