항목,스탠다드 2WD (A/T)
전장 (mm),4545
전폭 (mm),1890
전고 (mm),1580
축거 (mm),2900
윤거 (전) (mm),1633
윤거 (후) (mm),1642
승차정원,5
공차중량 (kg),2020
