항목,디럭스 초장축 영업용 (23인승) (A/T)
전장 (mm),7710
전폭 (mm),2035
전고 (mm),2795
축거 (mm),4085
윤거 (전) (mm),1705
윤거 (후) (mm),1495
승차정원,23
