항목,크로스 (A/T)
전장 (mm),3845
전폭 (mm),1610
전고 (mm),1610
축거 (mm),2580
윤거 (전) (mm),1402
윤거 (후) (mm),1413
승차정원,4
공차중량 (kg),1370
