항목,프리미엄 (A/T),익스클루시브 (A/T),인스퍼레이션 (A/T)
전장,"4,910 mm","4,910 mm","4,910 mm"
전폭,"1,860 mm","1,860 mm","1,860 mm"
전고,"1,445 mm","1,445 mm","1,445 mm"
축거,"2,840 mm","2,840 mm","2,840 mm"
윤거 (전),"1,633 mm","1,623 mm","1,618 mm"
윤거 (후),"1,640 mm","1,630 mm","1,625 mm"
승차정원,5,5,5
공차중량,"1,550 kg","1,570 kg","1,585 kg"
연료탱크,50 ℓ,50 ℓ,50 ℓ
트렁크 (후) 용량,480 ℓ,480 ℓ,480 ℓ
