항목,스포츠 패키지 AWD (A/T)
전장 (mm),4685
전폭 (mm),1850
전고 (mm),1400
축거 (mm),2835
윤거 (전) (mm),1596
윤거 (후) (mm),1604
승차정원,5
공차중량 (kg),1740
연료탱크 (ℓ),60
