항목,스포츠 2WD (A/T)
전장 (mm),4715
전폭 (mm),1910
전고 (mm),1630
축거 (mm),2875
윤거 (전) (mm),1649
윤거 (후) (mm),1665
승차정원,5
공차중량 (kg),1895
연료탱크 (ℓ),66
