항목,프리미엄 (A/T)
전장 (mm),4355
전폭 (mm),1825
전고 (mm),1580
축거 (mm),2660
윤거 (전) (mm),1591
윤거 (후) (mm),1600
승차정원,5
공차중량 (kg),1720
