항목,2WD (A/T)
전장 (mm),5005
전폭 (mm),1925
전고 (mm),1465
축거 (mm),3010
윤거 (전) (mm),1627
윤거 (후) (mm),1659
승차정원,5
공차중량 (kg),1830
연료탱크 (ℓ),65
