항목,일반형,좌석형
전장,"10,995 mm","10,995 mm"
전폭,"2,490 mm","2,490 mm"
전고,"3,310 mm","3,310 mm"
축거,"5,400 mm","5,400 mm"
윤거 (전),"2,060 mm","2,060 mm"
윤거 (후),"1,855 mm","1,855 mm"
오버행 (전),"2,360 mm","2,360 mm"
오버행 (후),"3,235 mm","3,235 mm"
승차정원,47,47
