항목,디 에센셜 (A/T)
전장 (mm),3595
전폭 (mm),1595
전고 (mm),1605
축거 (mm),2400
윤거 (전) (mm),1398
윤거 (후) (mm),1409
승차정원,4
공차중량 (kg),995
연료탱크 (ℓ),35
