항목,6×4 윙바디
전장,"12,980 mm"
전폭,"2,495 mm"
전고,"3,995 mm"
축거,"6,250 mm"
윤거 (전),"2,130 mm"
윤거 (후),"1,845 mm"
오버행 (전),"1,540 mm"
오버행 (후),"3,840 mm"
승차정원,2
