항목,AWD (5인승) (A/T)
전장 (mm),4940
전폭 (mm),1975
전고 (mm),1715
축거 (mm),2955
윤거 (전) (mm),1674
윤거 (후) (mm),1689
승차정원,5
공차중량 (kg),2145
연료탱크 (ℓ),80
