항목,AWD (A/T)
전장 (mm),4715
전폭 (mm),1940
전고 (mm),1585
축거 (mm),3000
윤거 (전) (mm),1667
윤거 (후) (mm),1672
승차정원,5
공차중량 (kg),2200
