항목,e-AWD (A/T)
전장,"5,135 mm"
전폭,"1,925 mm"
전고,"1,480 mm"
축거,"3,140 mm"
윤거 (전),"1,629 mm"
윤거 (후),"1,636 mm"
승차정원,5
공차중량,"2,355 kg"
