항목,슈퍼캡 초장축 스타일 (M/T),슈퍼캡 초장축 스타일 (A/T),슈퍼캡 초장축 스마트 (M/T),슈퍼캡 초장축 스마트 (A/T),슈퍼캡 초장축 모던 (M/T),슈퍼캡 초장축 모던 (A/T),슈퍼캡 초장축 프리미엄 (M/T),슈퍼캡 초장축 프리미엄 (A/T),더블캡 초장축 스타일 (M/T),더블캡 초장축 스타일 (A/T),더블캡 초장축 스마트 (M/T),더블캡 초장축 스마트 (A/T),더블캡 초장축 모던 (M/T),더블캡 초장축 모던 (A/T),더블캡 초장축 프리미엄 (M/T),더블캡 초장축 프리미엄 (A/T),일반캡 초장축 스타일 (M/T),일반캡 초장축 스타일 (A/T),일반캡 초장축 스마트 (M/T),일반캡 초장축 스마트 (A/T),일반캡 초장축 모던 (M/T),일반캡 초장축 모던 (A/T),일반캡 초장축 프리미엄 (M/T),일반캡 초장축 프리미엄 (A/T)
전장,"5,100 mm","5,100 mm","5,100 mm","5,100 mm","5,100 mm","5,100 mm","5,155 mm","5,155 mm","5,135 mm","5,135 mm","5,135 mm","5,135 mm","5,135 mm","5,135 mm","5,190 mm","5,190 mm","5,175 mm","5,175 mm","5,175 mm","5,175 mm","5,175 mm","5,175 mm","5,230 mm","5,230 mm"
전폭,"1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm","1,740 mm"
전고,"1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm","1,970 mm"
축거,"2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm"
윤거 (전),"1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm","1,485 mm"
윤거 (후),"1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm","1,320 mm"
승차정원,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3
공차중량,"1,675 kg","1,705 kg","1,675 kg","1,705 kg","1,675 kg","1,705 kg","1,675 kg","1,705 kg","1,775 kg","1,805 kg","1,775 kg","1,805 kg","1,775 kg","1,805 kg","1,775 kg","1,805 kg","1,660 kg","1,690 kg","1,660 kg","1,690 kg","1,660 kg","1,690 kg","1,660 kg","1,690 kg"
연료탱크,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ
