항목,스마트 (A/T)
전장 (mm),5625
전폭 (mm),2015
전고 (mm),2230
축거 (mm),3500
윤거 (전) (mm),1732
윤거 (후) (mm),1756
승차정원,2
공차중량 (kg),2365
