항목,스마트 (A/T),모던 라이트 (A/T),모던 (A/T),인스퍼레이션 (A/T),N라인 (A/T)
전장,"4,710 mm","4,710 mm","4,710 mm","4,710 mm","4,710 mm"
전폭,"1,825 mm","1,825 mm","1,825 mm","1,825 mm","1,825 mm"
전고,"1,420 mm","1,420 mm","1,420 mm","1,420 mm","1,420 mm"
축거,"2,720 mm","2,720 mm","2,720 mm","2,720 mm","2,720 mm"
윤거 (전),"1,585 mm","1,585 mm","1,585 mm","1,579 mm","1,566 mm"
윤거 (후),"1,599 mm","1,599 mm","1,599 mm","1,593 mm","1,581 mm"
승차정원,5,5,5,5,5
공차중량,"1,355 kg","1,355 kg","1,355 kg","1,370 kg","1,395 kg"
연료탱크,42 ℓ,42 ℓ,42 ℓ,42 ℓ,42 ℓ
트렁크 (후) 용량,474 ℓ,474 ℓ,474 ℓ,474 ℓ,474 ℓ
