항목,익스클루시브 2WD (A/T)
전장 (mm),5060
전폭 (mm),1980
전고 (mm),1805
축거 (mm),2970
윤거 (전) (mm),1720
윤거 (후) (mm),1732
승차정원,7
공차중량 (kg),2080
연료탱크 (ℓ),72
