항목,캘리그래피 4WD (A/T)
전장 (mm),5065
전폭 (mm),1980
전고 (mm),1805
축거 (mm),2970
윤거 (전) (mm),1709
윤거 (후) (mm),1721
승차정원,7
공차중량 (kg),2180
연료탱크 (ℓ),72
