항목,스마트 (A/T),디 에센셜 (A/T),인스퍼레이션 (A/T)
전장,"3,595 mm","3,595 mm","3,595 mm"
전폭,"1,595 mm","1,595 mm","1,595 mm"
전고,"1,575 mm","1,605 mm","1,605 mm"
축거,"2,400 mm","2,400 mm","2,400 mm"
윤거 (전),"1,398 mm","1,398 mm","1,386 mm"
윤거 (후),"1,409 mm","1,409 mm","1,398 mm"
승차정원,4,4,4
공차중량,995 kg,995 kg,"1,010 kg"
연료탱크,35 ℓ,35 ℓ,35 ℓ
