항목,AWD (A/T)
전장 (mm),4715
전폭 (mm),1910
전고 (mm),1630
축거 (mm),2875
윤거 (전) (mm),1651
윤거 (후) (mm),1667
승차정원,5
공차중량 (kg),1930
연료탱크 (ℓ),66
