항목,택시 모빌리티 (A/T)
전장,"4,945 mm"
전폭,"1,860 mm"
전고,"1,445 mm"
축거,"2,875 mm"
윤거 (전),"1,623 mm"
윤거 (후),"1,630 mm"
승차정원,5
공차중량,"1,475 kg"
연료탱크,64 ℓ
