항목,9인승 프레스티지 2WD (A/T)
전장 (mm),5255
전폭 (mm),1995
전고 (mm),1990
축거 (mm),3275
윤거 (전) (mm),1721
윤거 (후) (mm),1732
승차정원,9
공차중량 (kg),2335
연료탱크 (ℓ),65
