항목,냉동탑차 초장축 일반캡 스마트 트윈컴프 (M/T),냉동탑차 초장축 일반캡 스마트 트윈컴프 (A/T),냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (M/T),냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (A/T),냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (M/T),냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (A/T),냉동탑차 초장축 슈퍼캡 모던플러스 트윈컴프 (M/T),냉동탑차 초장축 슈퍼캡 모던플러스 트윈컴프 (A/T),초저온냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (일체형) (M/T),초저온냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (일체형) (A/T),하이냉동탑차 초장축 일반캡 스마트 트윈컴프 (M/T),하이냉동탑차 초장축 일반캡 스마트 트윈컴프 (A/T),하이냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (M/T),하이냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (A/T),하이냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (M/T),하이냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (A/T),하이냉동탑차 초장축 슈퍼캡 모던플러스 트윈컴프 (M/T),하이냉동탑차 초장축 슈퍼캡 모던플러스 트윈컴프 (A/T),저상냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (M/T),저상냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (A/T),냉장탑차 초장축 슈퍼캡 스타일 트윈컴프 (M/T),냉장탑차 초장축 슈퍼캡 스타일 트윈컴프 (A/T),냉장탑차 초장축 슈퍼캡 스마트 트윈컴프 (M/T),냉장탑차 초장축 슈퍼캡 스마트 트윈컴프 (A/T),하이냉장탑차 초장축 슈퍼캡 스타일 트윈컴프 (M/T),하이냉장탑차 초장축 슈퍼캡 스타일 트윈컴프 (A/T),하이냉장탑차 초장축 슈퍼캡 스마트 트윈컴프 (M/T),하이냉장탑차 초장축 슈퍼캡 스마트 트윈컴프 (A/T)
전장,"5,205 mm","5,205 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,230 mm","5,230 mm","5,205 mm","5,205 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm","5,170 mm"
전폭,"1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,785 mm","1,785 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm","1,765 mm"
전고,"2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,540 mm","2,540 mm","2,500 mm","2,500 mm","2,500 mm","2,500 mm","2,500 mm","2,500 mm","2,500 mm","2,500 mm","2,140 mm","2,140 mm","2,400 mm","2,400 mm","2,400 mm","2,400 mm","2,600 mm","2,600 mm","2,600 mm","2,600 mm"
축거,"2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm","2,640 mm"
승차정원,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
연료탱크,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ
