항목,익스클루시브 스페셜 (A/T)
전장 (mm),4750
전폭 (mm),1865
전고 (mm),1675
축거 (mm),2790
윤거 (전) (mm),1614
윤거 (후) (mm),1625
승차정원,5
공차중량 (kg),1890
연료탱크 (ℓ),162
