항목,프레스티지 2WD (A/T)
전장 (mm),4655
전폭 (mm),1890
전고 (mm),1605
축거 (mm),3000
윤거 (전) (mm),1638
윤거 (후) (mm),1647
승차정원,5
공차중량 (kg),2015
