항목,익스클루시브 (5인승) (A/T),익스클루시브 (6인승) (A/T),익스클루시브 (7인승) (A/T),프레스티지 (5인승) (A/T),프레스티지 (6인승) (A/T),프레스티지 (7인승) (A/T),프레스티지 플러스 (5인승) (A/T),프레스티지 플러스 (6인승) (A/T),프레스티지 플러스 (7인승) (A/T),캘리그래피 (5인승) (A/T),캘리그래피 (6인승) (A/T),캘리그래피 (7인승) (A/T),캘리그래피 블랙잉크 (5인승) (A/T),캘리그래피 블랙잉크 (6인승) (A/T),캘리그래피 블랙잉크 (7인승) (A/T)
전장,"4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm","4,830 mm"
전폭,"1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm","1,900 mm"
전고,"1,720 mm","1,720 mm","1,720 mm","1,770 mm","1,770 mm","1,770 mm","1,770 mm","1,770 mm","1,770 mm","1,770 mm","1,770 mm","1,770 mm","1,770 mm","1,770 mm","1,770 mm"
축거,"2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm","2,815 mm"
윤거 (전),"1,646 mm","1,646 mm","1,646 mm","1,646 mm","1,646 mm","1,646 mm","1,646 mm","1,646 mm","1,646 mm","1,637 mm","1,637 mm","1,637 mm","1,637 mm","1,637 mm","1,637 mm"
윤거 (후),"1,656 mm","1,656 mm","1,656 mm","1,656 mm","1,656 mm","1,656 mm","1,656 mm","1,656 mm","1,656 mm","1,647 mm","1,647 mm","1,647 mm","1,647 mm","1,647 mm","1,647 mm"
승차정원,5,6,7,5,6,7,5,6,7,5,6,7,5,6,7
공차중량,"1,865 kg","1,905 kg","1,920 kg","1,865 kg","1,905 kg","1,920 kg","1,865 kg","1,905 kg","1,920 kg","1,895 kg","1,935 kg","1,950 kg","1,895 kg","1,935 kg","1,950 kg"
연료탱크,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ,67 ℓ
