항목,하이내장탑차 (A/T),내장탑차 (A/T),저상내장탑차 (A/T),파워게이트 (A/T),수동식 윙바디 (A/T),전동식 윙바디 (A/T)
전장,"5,170 mm","5,170 mm","5,170 mm","5,245 mm","5,160 mm","5,410 mm"
전폭,"1,745 mm","1,745 mm","1,745 mm","1,740 mm","1,780 mm","1,780 mm"
전고,"2,670 mm","2,420 mm","2,120 mm","1,970 mm","2,700 mm","2,700 mm"
축거,"2,810 mm","2,810 mm","2,810 mm","2,810 mm","2,810 mm","2,810 mm"
승차정원,3,3,3,3,3,3
