항목,9.5톤 초장축 (저상),9.5톤 극초장축 (저상),13톤 극초장축 (저상),14톤 초장축 (고상),14.5톤 장축 (고상)
전장,"11,710 mm","12,710 mm","12,710 mm","12,490 mm","12,110 mm"
전폭,"2,490 mm","2,490 mm","2,490 mm","2,490 mm","2,490 mm"
전고,"3,290 mm","3,290 mm","3,290 mm","3,340 mm","3,340 mm"
축거,"6,800 mm","7,600 mm","7,600 mm","7,300 mm","7,060 mm"
승차정원,2,2,2,2,2
