항목,2WD (A/T),AWD (A/T),스포츠 2WD (A/T),스포츠 AWD (A/T)
전장,"4,715 mm","4,715 mm","4,715 mm","4,715 mm"
전폭,"1,910 mm","1,910 mm","1,910 mm","1,910 mm"
전고,"1,630 mm","1,630 mm","1,630 mm","1,630 mm"
축거,"2,875 mm","2,875 mm","2,875 mm","2,875 mm"
윤거 (전),"1,651 mm","1,651 mm","1,649 mm","1,649 mm"
윤거 (후),"1,667 mm","1,667 mm","1,665 mm","1,665 mm"
승차정원,5,5,5,5
공차중량,"1,865 kg","1,930 kg","1,895 kg","1,960 kg"
연료탱크,66 ℓ,66 ℓ,66 ℓ,66 ℓ
