항목,일반캡 장축(저상) 모던 (M/T),일반캡 장축(저상) 프리미엄 (M/T),일반캡 장축(저상) 프리미엄 (A/T),일반캡 장축 프리미엄 (M/T),일반캡 장축 프리미엄 (A/T),슈퍼캡 장축(저상) 프리미엄 (M/T),슈퍼캡 장축(저상) 프리미엄 (A/T),슈퍼캡 장축 프리미엄 (M/T),슈퍼캡 장축 프리미엄 (A/T),슈퍼캡 장축(저상) 프레스티지 (M/T),슈퍼캡 장축(저상) 프레스티지 (A/T),슈퍼캡 장축 프레스티지 (M/T),슈퍼캡 장축 프레스티지 (A/T),더블캡 장축 프리미엄 (A/T)
전장,"6,210 mm","6,210 mm","6,210 mm","6,210 mm","6,210 mm","6,510 mm","6,510 mm","6,510 mm","6,510 mm","6,510 mm","6,510 mm","6,510 mm","6,510 mm","6,210 mm"
전폭,"2,080 mm","2,080 mm","2,080 mm","2,080 mm","2,080 mm","2,080 mm","2,080 mm","2,080 mm","2,080 mm","2,080 mm","2,080 mm","2,080 mm","2,080 mm","2,080 mm"
전고,"2,345 mm","2,345 mm","2,345 mm","2,345 mm","2,345 mm","2,345 mm","2,345 mm","2,345 mm","2,345 mm","2,345 mm","2,345 mm","2,345 mm","2,345 mm","2,345 mm"
축거,"3,400 mm","3,400 mm","3,400 mm","3,400 mm","3,400 mm","3,600 mm","3,600 mm","3,600 mm","3,600 mm","3,600 mm","3,600 mm","3,600 mm","3,600 mm","3,400 mm"
승차정원,3,3,3,3,3,3,3,3,3,3,3,3,3,6
연료탱크,100 ℓ,100 ℓ,100 ℓ,100 ℓ,100 ℓ,100 ℓ,100 ℓ,100 ℓ,100 ℓ,100 ℓ,100 ℓ,100 ℓ,100 ℓ,100 ℓ
