항목,프리미엄 (A/T),익스클루시브 (A/T),아너스 (A/T),캘리그래피 (A/T),캘리그래피 (블랙익스테리어) (A/T),캘리그래피 (블랙잉크) (A/T)
전장,"5,035 mm","5,035 mm","5,035 mm","5,035 mm","5,035 mm","5,035 mm"
전폭,"1,880 mm","1,880 mm","1,880 mm","1,880 mm","1,880 mm","1,880 mm"
전고,"1,460 mm","1,460 mm","1,460 mm","1,460 mm","1,460 mm","1,460 mm"
축거,"2,895 mm","2,895 mm","2,895 mm","2,895 mm","2,895 mm","2,895 mm"
윤거 (전),"1,628 mm","1,628 mm","1,624 mm","1,624 mm","1,624 mm","1,624 mm"
윤거 (후),"1,635 mm","1,635 mm","1,631 mm","1,631 mm","1,631 mm","1,631 mm"
승차정원,5,5,5,5,5,5
공차중량,"1,700 kg","1,700 kg","1,715 kg","1,715 kg","1,715 kg","1,735 kg"
연료탱크,50 ℓ,50 ℓ,50 ℓ,50 ℓ,50 ℓ,50 ℓ
트렁크 (후) 용량,480 ℓ,480 ℓ,480 ℓ,480 ℓ,480 ℓ,480 ℓ
