항목,모던 2WD (A/T),H-Pick 2WD (A/T),프리미엄 2WD (A/T),인스퍼레이션 2WD (A/T),N Line 2WD (A/T)
전장,"4,350 mm","4,350 mm","4,350 mm","4,350 mm","4,385 mm"
전폭,"1,825 mm","1,825 mm","1,825 mm","1,825 mm","1,825 mm"
전고,"1,580 mm","1,585 mm","1,585 mm","1,585 mm","1,585 mm"
축거,"2,660 mm","2,660 mm","2,660 mm","2,660 mm","2,660 mm"
윤거 (전),"1,591 mm","1,591 mm","1,591 mm","1,591 mm","1,591 mm"
윤거 (후),"1,600 mm","1,600 mm","1,600 mm","1,600 mm","1,600 mm"
승차정원,5,5,5,5,5
공차중량,"1,435 kg","1,435 kg","1,435 kg","1,450 kg","1,450 kg"
연료탱크,38 ℓ,38 ℓ,38 ℓ,38 ℓ,38 ℓ
