항목,2WD (5인승) (A/T),AWD (5인승) (A/T),BLACK AWD (5인승) (A/T),2WD (6인승) (A/T),AWD (6인승) (A/T),BLACK AWD (6인승) (A/T),2WD (7인승) (A/T),AWD (7인승) (A/T),BLACK AWD (7인승) (A/T)
전장,"4,940 mm","4,940 mm","4,940 mm","4,940 mm","4,940 mm","4,940 mm","4,940 mm","4,940 mm","4,940 mm"
전폭,"1,975 mm","1,975 mm","1,975 mm","1,975 mm","1,975 mm","1,975 mm","1,975 mm","1,975 mm","1,975 mm"
전고,"1,715 mm","1,715 mm","1,715 mm","1,715 mm","1,715 mm","1,715 mm","1,715 mm","1,715 mm","1,715 mm"
축거,"2,955 mm","2,955 mm","2,955 mm","2,955 mm","2,955 mm","2,955 mm","2,955 mm","2,955 mm","2,955 mm"
윤거 (전),"1,674 mm","1,674 mm","1,674 mm","1,674 mm","1,674 mm","1,674 mm","1,674 mm","1,674 mm","1,674 mm"
윤거 (후),"1,689 mm","1,689 mm","1,689 mm","1,689 mm","1,689 mm","1,689 mm","1,689 mm","1,689 mm","1,689 mm"
오버행 (전),880 mm,880 mm,880 mm,880 mm,880 mm,880 mm,880 mm,880 mm,880 mm
오버행 (후),"1,105 mm","1,105 mm","1,105 mm","1,105 mm","1,105 mm","1,105 mm","1,105 mm","1,105 mm","1,105 mm"
승차정원,5,5,5,6,6,6,7,7,7
공차중량,"2,075 kg","2,145 kg","2,155 kg","2,075 kg","2,195 kg","2,155 kg","2,075 kg","2,195 kg","2,155 kg"
연료탱크,80 ℓ,80 ℓ,80 ℓ,80 ℓ,80 ℓ,80 ℓ,80 ℓ,80 ℓ,80 ℓ
