항목,로우데크 (엘레강스),로우데크 (프라임),하이데크 (프라임 EX),하이데크 (노블),하이데크 (노블 EX)
전장,"11,750 mm","12,020 mm","12,525 mm","12,015 mm","12,520 mm"
전폭,"2,495 mm","2,495 mm","2,495 mm","2,495 mm","2,495 mm"
전고,"3,370 mm","3,370 mm","3,520 mm","3,520 mm","3,520 mm"
축거,"5,850 mm","6,120 mm","6,625 mm","6,120 mm","6,625 mm"
윤거 (전),"2,075 mm","2,075 mm","2,075 mm","2,075 mm","2,075 mm"
윤거 (후),"1,850 mm","1,850 mm","1,850 mm","1,850 mm","1,850 mm"
승차정원,47,47,47,47,47
