항목,2WD (A/T),AWD (A/T),스포츠 패키지 2WD (A/T),스포츠 패키지 AWD (A/T)
전장,"4,685 mm","4,685 mm","4,685 mm","4,685 mm"
전폭,"1,850 mm","1,850 mm","1,850 mm","1,850 mm"
전고,"1,400 mm","1,400 mm","1,400 mm","1,400 mm"
축거,"2,835 mm","2,835 mm","2,835 mm","2,835 mm"
윤거 (전),"1,596 mm","1,596 mm","1,596 mm","1,596 mm"
윤거 (후),"1,632 mm","1,632 mm","1,604 mm","1,604 mm"
승차정원,5,5,5,5
공차중량,"1,660 kg","1,725 kg","1,675 kg","1,740 kg"
연료탱크,60 ℓ,60 ℓ,60 ℓ,60 ℓ
