항목,3인승 모던 (A/T),5인승 모던 (A/T),11인승 모던 2WD (A/T),9인승 모던 2WD (A/T)
전장,"5,255 mm","5,255 mm","5,255 mm","5,255 mm"
전폭,"1,995 mm","1,995 mm","1,995 mm","1,995 mm"
전고,"2,000 mm","2,000 mm","1,990 mm","1,990 mm"
축거,"3,275 mm","3,275 mm","3,275 mm","3,275 mm"
윤거 (전),"1,732 mm","1,732 mm","1,732 mm","1,732 mm"
윤거 (후),"1,716 mm","1,716 mm","1,743 mm","1,743 mm"
승차정원,3,5,11,9
공차중량,"1,985 kg","2,050 kg","2,305 kg","2,220 kg"
연료탱크,65 ℓ,65 ℓ,65 ℓ,65 ℓ
