항목,스탠다드 (15인승) (A/T),스탠다드 (2인승) (A/T),디럭스 (15인승) (A/T),디럭스 (16인승) (A/T),럭셔리 (15인승) (A/T),럭셔리 (2인승) (A/T)
전장,"6,195 mm","6,195 mm","6,195 mm","6,195 mm","6,195 mm","6,195 mm"
전폭,"2,038 mm","2,038 mm","2,038 mm","2,038 mm","2,038 mm","2,038 mm"
전고,"2,665 mm","2,665 mm","2,665 mm","2,665 mm","2,665 mm","2,665 mm"
축거,"3,670 mm","3,670 mm","3,670 mm","3,670 mm","3,670 mm","3,670 mm"
윤거 (전),"1,712 mm","1,712 mm","1,712 mm","1,712 mm","1,712 mm","1,712 mm"
윤거 (후),"1,718 mm","1,718 mm","1,718 mm","1,718 mm","1,718 mm","1,718 mm"
오버행 (전),990 mm,990 mm,990 mm,990 mm,990 mm,990 mm
오버행 (후),"1,535 mm","1,535 mm","1,535 mm","1,535 mm","1,535 mm","1,535 mm"
승차정원,15,2,15,16,15,2
연료탱크,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ,75 ℓ
